tag,x,y
yellow,44.07352254939407,-44.11057079894331
blue,46.72680130950801,-45.87638857382186
blue,48.876536011312076,-42.5129877640772
yellow,41.84409541400705,-47.251245533116524
blue,44.377328935605256,-49.24315074269831
yellow,39.47738037264841,-49.41129833007083
blue,41.626637564460296,-51.75090707187158
yellow,37.062628892602405,-51.24177764084765
none,46.73264881240134,-45.86463750122101
blue,38.897017443547526,-53.79485114199134
yellow,34.93219242559186,-51.63365011652361
yellow,33.15190271314979,-51.10802212438269
blue,44.396785923642646,-49.22958674069497
yellow,30.22935232235807,-45.94408126342787
yellow,32.015342301022976,-50.33120159238897
blue,35.43514701647663,-54.82510504420469
yellow,30.780570714345618,-48.3513747159874
yellow,31.288973872798522,-49.58787195753355
blue,32.58048983109239,-54.40754743655783
blue,41.59279730468376,-51.75397305604604
blue,29.741746624022404,-52.75460160039688
blue,28.454290994572496,-51.29855893550294
blue,27.802619000441236,-49.550174450397456
blue,27.031291566703175,-46.293297018605806
blue,38.85529474906823,-53.76992439169033
none,35.36927257534908,-54.79432746690955
none,29.772757054513104,-52.763169851220795
blue,27.35832395125099,-42.701858734287875
blue,14.972574929916338,-48.489518332538196
blue,28.653456623173945,-39.99342750249053
yellow,30.355432588643367,-43.45223412268391
blue,14.442666054671903,-52.462499322195406
blue,30.86190412134353,-37.37839901612073
blue,14.281696866944356,-44.67100828068877
yellow,31.34987770764106,-41.666336645910604
blue,32.3857337491598,-34.09841508677622
none,26.98244781558113,-46.37721444703926
yellow,11.949391887774881,-48.66006223203704
yellow,33.664636016790695,-38.77699399343837
yellow,35.43386687546689,-35.09786484128994
blue,12.744234507250715,-41.627660332342494
blue,32.884354584291565,-30.728830493418812
blue,27.337468534315427,-42.68184857659464
yellow,36.207326311820715,-31.07308015049237
none,28.627781008715772,-40.01585637130383
none,18.26216257449777,-33.72843715707822
blue,32.945550154009844,-27.2551334580001
yellow,36.19101319221407,-27.08962844434755
blue,32.842703026363765,-30.714084451314438
blue,32.88546110496549,-27.23317090295265
blue,32.35538520588948,-34.08004464610772
blue,32.73264163636464,-23.782395391436545
yellow,36.23641940209553,-27.08715496525029
yellow,36.00022652690438,-23.576991397309012
yellow,36.16797844370243,-31.0497733601094
blue,32.33895596207447,-20.52011220761348
yellow,35.61577332606233,-20.130208237649278
blue,31.305551385548235,-18.019016223845096
yellow,34.34708921716439,-16.714767030449615
blue,30.00033372651083,-16.248282050112238
yellow,35.61894505100838,-20.13230395012853
yellow,34.32885380567768,-16.712142733408673
none,32.0741776892449,-13.798548602963226
yellow,27.707559219863857,-2.23923669082864
blue,15.320533136940249,-14.76099347114677
yellow,22.684717674107564,-2.087393081042859
none,28.512200532320808,-12.027470791840443
blue,12.907255267139227,-15.28310227412742
yellow,25.32544500947611,-11.272552240804199
yellow,21.161470512549972,-11.049880238638504
blue,10.212465798644304,-16.982515174537625
yellow,17.910224064506668,-11.187375143143996
yellow,8.492857930319026,-14.327652625232028
blue,8.461096323547707,-18.931083877797047
yellow,14.828897811680273,-11.521687306160239
yellow,5.866196324397413,-17.0868799070997
yellow,11.747594878231029,-12.328124346402548
blue,7.329406917484782,-21.72021845564845
none,7.420779795190479,-1.7848495927957586
yellow,4.479852109105272,-20.235410161544255
blue,6.68336865113304,-24.129092345224393
yellow,3.6115744560424283,-23.363952070945125
