x,y
23.640543,-3.434859
23.707572999999996,-3.521195
23.773521000000002,-3.608319
23.83838,-3.696217
23.902140000000003,-3.784877
23.964790999999998,-3.874283
24.026325999999997,-3.964423
24.086736000000002,-4.055283
24.146011,-4.146848
24.204144999999997,-4.239105
24.261128999999997,-4.332039
24.316955,-4.425635
24.371616000000003,-4.51988
24.425103,-4.614759
24.47741,-4.710257
24.528530000000003,-4.80636
24.578454999999998,-4.903052
24.627178999999998,-5.00032
24.674695,-5.098147
24.720996,-5.19652
24.766078,-5.295423
24.809932000000003,-5.39484
24.852555000000002,-5.494758
24.893939000000003,-5.595159
24.93408,-5.69603
24.972972,-5.797355
25.01061,-5.899118
25.04699,-6.001303
25.082105999999996,-6.103896
25.115954000000002,-6.20688
25.148528999999996,-6.310241
25.179828,-6.413961
